date,portfolio_value
2023-09-14 00:00:00+00:00,153116.63000000003
2023-09-15 00:00:00+00:00,151535.83000000002
2023-09-18 00:00:00+00:00,152375.63000000003
2023-09-19 00:00:00+00:00,151595.11000000002
2023-09-20 00:00:00+00:00,151437.03000000006
2023-09-21 00:00:00+00:00,150340.35
2023-09-22 00:00:00+00:00,149599.35
2023-09-25 00:00:00+00:00,148858.35
2023-09-26 00:00:00+00:00,147692.50999999998
2023-09-27 00:00:00+00:00,145321.31000000003
2023-09-28 00:00:00+00:00,144234.50999999998
2023-09-29 00:00:00+00:00,144007.27000000002
2023-10-02 00:00:00+00:00,143473.75000000003
2023-10-03 00:00:00+00:00,143691.11000000002
2023-10-04 00:00:00+00:00,143760.27000000002
2023-10-05 00:00:00+00:00,142228.87
2023-10-06 00:00:00+00:00,142130.07000000004
2023-10-09 00:00:00+00:00,141300.15
2023-10-10 00:00:00+00:00,142801.91
2023-10-11 00:00:00+00:00,141290.27000000002
2023-10-12 00:00:00+00:00,141310.03000000006
2023-10-13 00:00:00+00:00,142693.23
2023-10-16 00:00:00+00:00,143957.87
2023-10-17 00:00:00+00:00,144748.27000000002
2023-10-18 00:00:00+00:00,148117.35
2023-10-19 00:00:00+00:00,146408.11000000002
2023-10-20 00:00:00+00:00,146230.27000000002
2023-10-23 00:00:00+00:00,146378.47
2023-10-24 00:00:00+00:00,147890.11000000002
2023-10-25 00:00:00+00:00,148759.55000000002
2023-10-26 00:00:00+00:00,148403.87
2023-10-27 00:00:00+00:00,145568.31000000003
2023-10-30 00:00:00+00:00,147415.87
2023-10-31 00:00:00+00:00,148166.75000000003
2023-11-01 00:00:00+00:00,147218.27000000002
2023-11-02 00:00:00+00:00,149540.07000000004
2023-11-03 00:00:00+00:00,148344.59000000003
2023-11-06 00:00:00+00:00,148700.27000000002
2023-11-07 00:00:00+00:00,148779.31000000003
2023-11-08 00:00:00+00:00,148226.03000000006
2023-11-09 00:00:00+00:00,148660.75000000003
2023-11-10 00:00:00+00:00,149757.43000000002
2023-11-13 00:00:00+00:00,150636.75000000003
2023-11-14 00:00:00+00:00,150379.87
2023-11-15 00:00:00+00:00,149470.91
2023-11-16 00:00:00+00:00,151031.95
2023-11-17 00:00:00+00:00,149312.83000000002
2023-11-20 00:00:00+00:00,148423.63000000003
2023-11-21 00:00:00+00:00,147811.07000000004
2023-11-22 00:00:00+00:00,149006.55000000002
2023-11-24 00:00:00+00:00,149589.47
2023-11-27 00:00:00+00:00,149352.35
2023-11-28 00:00:00+00:00,150468.79
2023-11-29 00:00:00+00:00,149510.43000000002
2023-11-30 00:00:00+00:00,151654.39000000004
2023-12-01 00:00:00+00:00,150567.59000000003
2023-12-04 00:00:00+00:00,150122.99000000002
2023-12-05 00:00:00+00:00,145113.83000000002
2023-12-06 00:00:00+00:00,144708.75000000003
2023-12-07 00:00:00+00:00,144748.27000000002
2023-12-08 00:00:00+00:00,143414.47
2023-12-11 00:00:00+00:00,144027.03000000006
2023-12-12 00:00:00+00:00,144392.59000000003
2023-12-13 00:00:00+00:00,146506.91
2023-12-14 00:00:00+00:00,142920.47
2023-12-15 00:00:00+00:00,142278.27000000002
2023-12-18 00:00:00+00:00,144382.71000000002
2023-12-19 00:00:00+00:00,144392.59000000003
2023-12-20 00:00:00+00:00,142772.27000000002
2023-12-21 00:00:00+00:00,142446.23
2023-12-22 00:00:00+00:00,143315.67000000004
2023-12-26 00:00:00+00:00,144056.67000000004
2023-12-27 00:00:00+00:00,144254.27000000002
2023-12-28 00:00:00+00:00,144046.79
2023-01-04 00:00:00+00:00,62210.75000000003
2023-01-05 00:00:00+00:00,61519.15000000002
2023-01-06 00:00:00+00:00,62546.67000000002
2023-01-09 00:00:00+00:00,61904.47000000003
2023-01-10 00:00:00+00:00,61440.11000000003
2023-01-11 00:00:00+00:00,61272.15000000002
2023-01-12 00:00:00+00:00,60481.75000000003
2023-01-13 00:00:00+00:00,60679.35000000003
2023-01-17 00:00:00+00:00,60916.47000000003
2023-01-18 00:00:00+00:00,59098.55000000003
2023-01-19 00:00:00+00:00,59049.15000000002
2023-01-20 00:00:00+00:00,59365.31000000003
2023-01-23 00:00:00+00:00,59533.270000000026
2023-01-24 00:00:00+00:00,59780.270000000026
2023-01-25 00:00:00+00:00,60135.950000000026
2023-01-26 00:00:00+00:00,60047.03000000003
2023-01-27 00:00:00+00:00,59800.03000000003
2023-01-30 00:00:00+00:00,60037.15000000002
2023-01-31 00:00:00+00:00,60531.15000000002
2023-02-01 00:00:00+00:00,60629.950000000026
2023-02-02 00:00:00+00:00,59602.43000000002
2023-02-03 00:00:00+00:00,59118.31000000003
